,Error Results,p,d,q
0,0.024120054241464326,0,0,0
1,0.024162989976777884,0,0,1
2,0.024455324208389823,0,0,2
3,0.025005201372808657,0,0,3
4,0.025637076495040864,0,0,4
5,0.1268436322136514,0,1,0
6,0.04185693745922837,0,1,1
7,0.041841236750853716,0,1,2
8,0.042081851309922536,0,1,3
9,0.04887062353377469,0,1,4
10,2.922019083159247,0,2,0
11,0.222010434081948,0,2,1
12,0.0716591176745813,0,2,2
13,0.06897212817200096,0,2,3
14,0.05613904790215693,0,2,4
15,49.47919450093026,0,3,0
16,4.277674202065784,0,3,1
17,0.17297318892267216,0,3,2
18,0.7458557260510685,0,3,3
19,0.72477074092816,0,3,4
20,1634.1274168376935,0,4,0
21,69.03923379349897,0,4,1
22,13.147861144225807,0,4,2
23,1.7028763321307498,0,4,3
24,1.0000054653446335,0,4,4
25,0.024164888116601044,1,0,0
26,0.02418165981999482,1,0,1
27,0.01944202169073219,1,0,2
28,0.02617863645888023,1,0,3
29,0.026279698146552,1,0,4
30,0.0638651130363198,1,1,0
31,0.04182533898587065,1,1,1
32,0.04211649684147789,1,1,2
33,0.04406602335456753,1,1,3
34,0.051067827523669014,1,1,4
35,5.150522495788759,1,2,0
36,0.14237707622763768,1,2,1
37,0.06815080532201212,1,2,2
38,0.07301843528662885,1,2,3
39,0.06167549433437263,1,2,4
40,40.71393566617404,1,3,0
41,7.230810440258345,1,3,1
42,0.24874715854109503,1,3,2
43,0.7163534830862537,1,3,3
44,0.748311766774172,1,3,4
45,124.69862073030522,1,4,0
46,32.74464593541685,1,4,1
47,14.82492939933832,1,4,2
48,1.682980504669717,1,4,3
49,1.0305357927622898,1,4,4
50,0.024223359466990994,2,0,0
51,0.024094960163011644,2,0,1
52,0.019219812747534693,2,0,2
53,0.026398728131845586,2,0,3
54,0.020833662204688425,2,0,4
55,0.01760422712212225,2,1,0
56,0.041561944532262064,2,1,1
57,0.04298828005002063,2,1,2
58,0.044034300839950254,2,1,3
59,0.044541483435329925,2,1,4
60,3.729102794742373,2,2,0
61,0.06806133096831168,2,2,1
62,0.15529194748879319,2,2,2
63,0.06952326602933391,2,2,3
64,0.06933034551273862,2,2,4
65,42.62392170709882,2,3,0
66,4.672193120393869,2,3,1
67,0.4311571082711951,2,3,2
68,0.27820283720735217,2,3,3
69,0.7186684436524823,2,3,4
70,37.74111944406728,2,4,0
71,48.71120626285101,2,4,1
72,12.386913852066808,2,4,2
73,13.799014984973109,2,4,3
74,1.5376523731036733,2,4,4
75,0.02332050335006864,3,0,0
76,0.025802563968346584,3,0,1
77,0.025729560237122355,3,0,2
78,0.023347104870804387,3,0,3
79,0.021069719431388665,3,0,4
80,0.09409799371961669,3,1,0
81,0.049428139196020765,3,1,1
82,0.05063034166212918,3,1,2
83,0.05038120893187277,3,1,3
84,0.041977013648328974,3,1,4
85,1.946313250820136,3,2,0
86,0.13464676409466367,3,2,1
87,0.06337753149029933,3,2,2
88,0.0684276305656677,3,2,3
89,0.07221033731717087,3,2,4
90,39.45176636756447,3,3,0
91,2.2959156733691897,3,3,1
92,0.604936274765902,3,3,2
93,8.353719794739922,3,3,3
94,0.18031276886908812,3,3,4
95,209.65501757964512,3,4,0
96,52.90205450863672,3,4,1
97,7.971157451143872,3,4,2
98,0.18221211017761618,3,4,3
99,15.493715925583421,3,4,4
100,0.023587208191484035,4,0,0
101,0.025795716842971144,4,0,1
102,0.02554290138478359,4,0,2
103,0.02083010292792666,4,0,3
104,0.021725694246770247,4,0,4
105,0.10859645111149449,4,1,0
106,0.05120119043596297,4,1,1
107,0.050222518284633935,4,1,2
108,0.050204759056539074,4,1,3
109,0.04240589254944653,4,1,4
110,0.6999275025217273,4,2,0
111,0.17051321666249186,4,2,1
112,0.16041173295149455,4,2,2
113,0.07403661146903683,4,2,3
114,0.19301402499346068,4,2,4
115,26.367614748367313,4,3,0
116,0.7512241185504019,4,3,1
117,0.6338833654974595,4,3,2
118,0.6237507019465817,4,3,3
119,0.5833277383668611,4,3,4
120,209.49828130158383,4,4,0
121,38.408233793089494,4,4,1
122,4.465781269905452,4,4,2
123,6.904104139577465,4,4,3
124,12.764033921133693,4,4,4
